particle,frame,y,x,equivalent_diameter,perimeter,eccentricity,orientation_x_2_sin,orientation_x_2_cos,true_solidity,solidity,area,mean_intensity,angle,wtd_frame,wtd_y,wtd_x,wtd_equivalent_diameter,wtd_perimeter,wtd_eccentricity,wtd_orientation_x_2_sin,wtd_orientation_x_2_cos,wtd_true_solidity,wtd_solidity,wtd_area,wtd_mean_intensity,wtd_angle,bbox_top,bbox_left,bbox_bottom,bbox_right
1,16.000000,153.666646,136.585548,91.032881,570.325236,0.984489,-0.247573,-0.968869,0.159616,0.716942,6508.583100,2.000000,-1.445709,163.200000,176.628329,156.994883,78.476621,163.886562,4.922447,-1.237867,-4.844346,2.507238,0.716942,8599.000000,2.000000,-1.445709,25.000000,128.000000,300.000000,200.000000
1,17.000000,156.072831,134.822339,91.133397,554.417920,0.986184,-0.232845,-0.972514,0.164377,0.764210,6522.964200,2.000000,-1.453296,173.400000,179.394059,154.968206,78.563273,159.315494,4.930922,-1.164223,-4.862570,2.582023,0.764210,8618.000000,2.000000,-1.453296,24.000000,130.000000,304.000000,198.000000
1,18.000000,155.852552,134.183243,91.059343,583.102309,0.987218,-0.206607,-0.978424,0.156164,0.718437,6512.367600,2.000000,-1.466743,183.600000,179.140865,154.233612,78.499434,167.558135,4.936091,-1.033034,-4.892120,2.453012,0.718437,8604.000000,2.000000,-1.466743,19.000000,130.000000,307.000000,199.000000
1,19.000000,146.312992,133.423430,91.896870,572.904321,0.986749,-0.181240,-0.983439,0.160405,0.719576,6632.714700,2.000000,-1.479673,193.800000,168.175853,153.360265,79.221439,164.627679,4.933746,-0.906199,-4.917195,2.519640,0.719576,8763.000000,2.000000,-1.479673,15.000000,128.000000,290.000000,198.000000
1,20.000000,152.369901,133.897828,88.695015,556.369017,0.986485,-0.201564,-0.979475,0.159418,0.729425,6178.574700,2.000000,-1.469319,204.000000,175.137817,153.905549,76.461220,159.876154,4.932427,-1.007822,-4.897376,2.504126,0.729425,8163.000000,2.000000,-1.469319,26.000000,130.000000,294.000000,198.000000
1,21.000000,153.414432,133.276788,88.781896,533.326822,0.987057,-0.205040,-0.978754,0.166468,0.747418,6190.685100,2.000000,-1.467544,214.200000,176.338428,153.191710,76.536117,153.254834,4.935284,-1.025198,-4.893768,2.614875,0.747418,8179.000000,2.000000,-1.467544,26.000000,130.000000,291.000000,197.000000
1,22.000000,144.528226,133.132994,90.576520,572.116457,0.988693,-0.180822,-0.983516,0.158318,0.695620,6443.489700,2.000000,-1.479885,224.400000,166.124398,153.026430,78.083207,164.401281,4.943467,-0.904109,-4.917579,2.486858,0.695620,8513.000000,2.000000,-1.479885,6.000000,130.000000,287.000000,196.000000
1,23.000000,142.457423,132.242887,91.776191,569.743164,0.989680,-0.152738,-0.988267,0.161083,0.694257,6615.306000,2.000000,-1.494127,234.600000,163.744165,152.003318,79.117406,163.719300,4.948401,-0.763690,-4.941334,2.530293,0.694257,8740.000000,2.000000,-1.494127,6.000000,131.000000,290.000000,192.000000
1,24.000000,140.320620,132.604662,92.706043,627.534138,0.989627,-0.158362,-0.987381,0.147731,0.609195,6750.034200,2.000000,-1.491281,244.800000,161.288069,152.419152,79.919003,180.325902,4.948135,-0.791810,-4.936906,2.320548,0.609195,8918.000000,2.000000,-1.491281,0.000000,128.000000,297.000000,194.000000
1,25.000000,143.712827,131.461779,92.815131,639.019017,0.990177,-0.146728,-0.989177,0.145246,0.650251,6765.929100,2.000000,-1.497167,255.000000,165.187157,151.105493,80.013044,183.626154,4.950885,-0.733638,-4.945885,2.281523,0.650251,8939.000000,2.000000,-1.497167,0.000000,128.000000,306.000000,189.000000
1,26.000000,147.061884,130.465831,89.850101,585.912799,0.989575,-0.171556,-0.985174,0.153351,0.770441,6340.551300,2.000000,-1.484592,265.200000,169.036648,149.960726,77.456984,168.365747,4.947874,-0.857781,-4.925872,2.408826,0.770441,8377.000000,2.000000,-1.484592,18.000000,126.000000,301.000000,188.000000
1,27.000000,142.538692,128.937034,91.660610,615.765725,0.990939,-0.158234,-0.987402,0.148856,0.742906,6598.654200,2.000000,-1.491345,275.400000,163.837577,148.203487,79.017767,176.944174,4.954696,-0.791171,-4.937008,2.338229,0.742906,8718.000000,2.000000,-1.491345,12.000000,122.000000,302.000000,184.000000
1,28.000000,140.339121,128.314442,90.879248,592.574262,0.990442,-0.158661,-0.987333,0.153363,0.767302,6486.633000,2.000000,-1.491129,285.600000,161.309335,147.487865,78.344179,170.279960,4.952209,-0.793307,-4.936665,2.409028,0.767302,8570.000000,2.000000,-1.491129,14.000000,121.000000,294.000000,183.000000
1,29.000000,142.034341,128.489885,92.289291,598.514993,0.990747,-0.170098,-0.985427,0.154197,0.781294,6689.482200,2.000000,-1.485332,295.800000,163.257864,147.689523,79.559734,171.987067,4.953733,-0.850492,-4.927135,2.422123,0.781294,8838.000000,2.000000,-1.485332,17.000000,120.000000,305.000000,182.000000
