cell_id,avg_area,avg_perimeter,avg_angle,avg_circularity,avg_segment_length,total_path_length,avg_orientation,euclidean_distance,avg_speed,avg_velocity,avg_directedness,avg_turn_angle,avg_direction_autocorrelation
1,237.64800083999998,690.6944030783333,478.64752248166667,840.1912577266667,3.575930083453974,210.97987492378445,-0.41336565045686025,100.56694215597015,2.1455580500723843,10.227146659929167,0.5068290477922494,-4.603161261146353,-0.0026920620839195916
2,575.0233947749999,672.8821736666669,358.48313445666656,196.81288502666663,2.002670321539442,118.15754897082712,0.010731852387748481,23.58189724331161,1.201602192923665,2.398159041692706,0.945627107795176,-12.43138823765082,-0.22772991880076857
3,384.05104522166664,938.1705657966667,598.7276763883334,233.11840006833333,2.0819210897035583,122.83334429250989,-0.3935009188157971,49.70775367111799,1.2491526538221347,5.0550257970628465,-0.8441883024687493,-7.320450797076678,0.03539747789820153
4,230.849066165,574.8668212916667,343.89727324999996,763.9804443383332,2.3118244661701817,136.39764350404073,0.8402702836898364,75.17745018520351,1.3870946797021089,7.645164425613916,0.09367311061324655,-32.747800673064596,-0.0302245374002627
5,322.79665833,802.4580515566666,904.5399647983334,575.9450653083333,4.046086037202103,238.71907619492407,0.9239345421542239,46.419093104872665,2.4276516223212625,4.720585739478576,0.5007329822619114,8.803202338342732,0.04289480537025245
6,620.5940226233332,374.5757715850001,559.1041534433333,487.26949258999997,2.1111367749275565,124.55706972072582,0.781683209123485,37.283451081338,1.266682064956534,3.7915373981021694,-0.8229474636482392,4.905156771764133,0.011619215861014626
7,704.1897989916666,592.3965901683333,410.3995269816667,887.4359069833332,2.3830158307493883,140.5979340142139,-0.17676438043793172,63.20206526751152,1.4298094984496328,6.427328671272358,0.9138219380678239,-8.544234949081233,0.1353825245557794
8,371.75751749666665,592.4629923533334,660.6634897916666,835.0048238133334,2.7149547780167116,160.18233190298602,-0.47439847229547033,28.657920507127752,1.628972866810027,2.9143647973350255,0.5467914338479252,11.035555700814262,0.14713790282165629
9,401.06363881333334,574.9027130133333,445.27407582333336,699.7990977033332,1.4684560463430238,86.6389067342384,-0.795945747280768,22.097757205089515,0.8810736278058143,2.2472295462802894,-0.5092316621125371,-3.8689401672073385,0.1259726329570865
10,701.9977396583333,104.9722685505,785.6157135083332,500.94137472166665,3.28374746032793,193.74110015934787,-0.6421976022002442,67.94247856550258,1.9702484761967576,6.9094045998816185,0.19820172483535506,-20.770147847375338,-0.10774431235464081
11,359.0144983966667,282.6917984016667,291.32185719999995,74.23580118716667,2.5374312706245132,149.70844496684626,-0.7140626370521983,4.041807523437196,1.522458762374708,0.41103127356988434,-0.6446865151924763,9.682490299679722,-0.08704945390114276
12,39.25316740666666,127.16415520066668,506.6447514816667,569.0059295683334,2.4218139301703117,142.8870218800484,0.3675162596877263,94.30928009986255,1.453088358102187,9.590774247443647,0.024535497446826666,-13.273681372105374,-0.12362228325053866
13,3.5163312474333344,1.9692924797999998,2.0472224060333337,2.2732940650833333,2.5662586543279096,151.4092606053467,0.9945351302269323,36.87466396660229,1.539755192596746,3.749965827112097,0.3505498337992918,19.343599771313496,-0.09284432427995212
14,4.250615841816666,1.479847701233333,3.3034242778666667,2.0906546172666665,4.235080802719487,249.86976736044974,0.9898449420151643,59.8987157716101,2.5410484816316923,6.091394824231535,-0.840208698193814,-22.322647387170772,-0.03648924719814674
15,1.0883081351833332,3.46967374865,2.9209544190166663,5.6521024455166655,4.322660180057546,255.0369506233952,0.9869066501602572,149.60229995350193,2.5935961080345273,15.213793215610364,0.5783063349183141,14.860616404734934,0.012483231463573205
16,2.268861428266667,3.2028076592,3.327595832333333,3.8167076968833333,1.504929872622767,88.79086248474326,0.9818857963723476,29.512536148322887,0.90295792357366,3.0012748625413104,-0.8080068236188622,-13.261980313226674,0.3236152735128021
17,3.8125779819333334,2.689790775883333,5.1796152223,2.331107217083334,3.3594145233908614,198.2054568800608,0.9670470307470024,36.8563230066841,2.0156487140345165,3.7481006447475353,-0.012695241621255788,-20.693465242657098,0.0956118060491383
18,3.834140646766667,2.2550304934500005,2.5328567299499998,4.6593342109166676,2.126089436286877,125.43927674092579,0.9832537974803011,76.90513678524087,1.2756536617721264,7.820861367990597,-0.9751101171041018,-0.7972329322540289,-0.047062230276690556
19,1.7282214919666665,0.0389999993,0.042633331983333335,0.04081666541666666,7.3010919813061985,430.7644268970658,0.9999988339654674,207.37673526118374,4.380655188783719,21.08915951808648,0.3626545896781108,-4.025585771432407,-0.03421063842656202
