time,avg_area,avg_perimeter,avg_angle,avg_circularity,avg_segment_length,total_path_length,avg_orientation,euclidean_distance,avg_speed,avg_velocity,avg_directedness,avg_turn_angle,avg_direction_autocorrelation
0,1417.4575000000002,187.45335714285713,69.53514285714286,0.5117142857142857,0.0,0.0,-0.35693531445219173,0.0,0.0,0.0,0.0,0.0,0.0
10,1621.3879285714286,206.94400000000002,69.47242857142858,0.49857142857142855,4.140010282048893,4.140010282048893,-0.3963934872933376,4.140010282048893,2.4840061692293363,0.41400102820488927,0.5136743832793759,21.27105826872187,0.15986184021074026
20,1751.0879999999997,210.55457142857145,75.87042857142858,0.5315,2.908381529106315,7.048391811155208,-0.43265548840737983,6.2789699897460665,1.7450289174637894,0.6278969989746066,0.44700472323298496,-9.572817958490102,-0.12172072649136291
30,1722.3799999999999,215.85364285714286,72.60864285714285,0.4945714285714286,4.595919730310494,11.6443115414657,-0.2879782676144732,10.207810965730753,2.757551838186297,1.0207810965730753,0.4325058268682242,-10.059431619466023,-0.155831336115154
40,1622.7396428571426,203.0542142857143,72.1305,0.5362142857142858,5.414345113144024,17.058656654609727,-0.3021102814038389,12.575863421462197,3.2486070678864136,1.2575863421462197,0.45886834522211556,-5.624692527816366,0.18700699555911324
50,1557.916642857143,202.8922142857143,72.07928571428572,0.5192142857142857,3.596707245476535,20.65536390008626,-0.31279886682538993,14.721916034054798,2.1580243472859215,1.4721916034054798,0.5011343323033035,-25.02693987491729,-0.1593333908711411
60,1538.0207142857143,202.99421428571426,71.23878571428573,0.5005000000000001,5.752066533814984,26.407430433901247,-0.2847970039711415,16.283702231939902,3.4512399202889905,1.6283702231939903,0.6212215563128011,-20.562536627948564,0.13798185671480487
70,1445.1924999999999,199.799,73.02999999999999,0.48228571428571426,6.310104463317352,32.71753489721859,-0.2668220324719169,21.18849845331235,3.7860626779904116,2.1188498453312348,0.5710388720542662,-15.8953817524073,-0.19881225591097212
80,1341.0105714285714,197.0747142857143,73.27007142857143,0.4812857142857143,3.6534359733552804,36.37097087057388,-0.2788528199579452,22.60926006564933,2.1920615840131688,2.260926006564933,0.5938259470654487,-12.095850278024812,-0.19973716556061824
90,1674.9114285714284,219.915,78.72014285714286,0.4717857142857143,6.679476997233004,43.05044786780688,-0.39985532989481326,22.423037577585063,4.007686198339802,2.2423037577585063,0.737906394580792,-16.242224372085914,-0.16785405176929755
100,1996.1615714285715,247.99678571428572,74.56742857142856,0.44850000000000007,10.871970103008385,53.92241797081527,-0.268886258972119,30.90492368431192,6.523182061805033,3.090492368431192,0.6596844933980365,-24.847075176313105,0.11752321454568704
110,1598.951142857143,208.52807142857142,80.74400000000001,0.4923571428571429,9.331444070419025,63.25386204123429,-0.20667621302732572,36.2688506430981,5.598866442251414,3.6268850643098096,0.6993257657505415,-18.874091464590627,0.0820512026319954
120,1578.3527142857142,200.08242857142858,75.14099999999999,0.5395714285714285,8.006176722980717,71.260038764215,-0.3531075153059559,41.43642991572052,4.803706033788431,4.143642991572052,0.7966066144189828,-12.268574306256841,0.06526179554239045
130,1891.060714285714,218.2235714285714,80.95199999999998,0.5283571428571429,5.298595461992046,76.55863422620708,-0.28358973427434114,46.11601494678114,3.1791572771952272,4.611601494678114,0.810954674363131,-33.895141658471154,-0.07437806458202946
140,1723.0828571428572,220.66035714285712,81.8795,0.48957142857142866,5.954885054364207,82.51351928057126,-0.24931191392930602,46.56087320619449,3.5729310326185244,4.6560873206194495,0.8306797533386828,10.096446819608383,0.1436649304633018
150,1739.9509285714284,230.78428571428572,75.43928571428572,0.45385714285714285,6.436774770066497,88.95029405063777,-0.5246210307475064,48.889076740609134,3.862064862039898,4.888907674060913,0.8405370193065388,3.4274538086772774,0.5685610039206577
160,1822.6152142857143,226.12835714285714,79.99149999999999,0.47135714285714286,7.405517497364106,96.35581154800187,-0.45021732530660846,53.58366940513831,4.443310498418463,5.358366940513831,0.8293113603995733,-22.486367244802246,-0.09147948076708952
170,1934.7444285714282,240.13157142857145,77.04371428571429,0.4448571428571429,5.729136749561101,102.08494829756297,-0.33807078535497176,56.57443974634434,3.4374820497366594,5.657443974634434,0.8248106442045051,-11.043048519799024,0.056973918530526836
180,2156.894714285714,245.90028571428567,86.73192857142858,0.47578571428571426,8.299777483458561,110.38472578102152,-0.5390345760898693,62.39055044354218,4.979866490075137,6.2390550443542185,0.8255176503534144,-25.934005391211034,-0.06236345220965601
190,2070.1755714285714,253.9352142857143,99.8325,0.4492857142857143,6.176938944319183,116.56166472534072,-0.5454099743502169,62.39174339882586,3.70616336659151,6.239174339882586,0.8244015534847647,-3.798545175928851,0.2618487690647329
200,1758.9273571428573,227.5882142857143,99.80842857142855,0.47935714285714287,7.457942552069779,124.0196072774105,-0.5206474313760873,65.09063876147096,4.474765531241867,6.509063876147096,0.8482529726523375,-10.083834142515332,-0.31091405619153695
210,1713.4594285714286,238.10714285714286,95.69507142857142,0.43057142857142855,6.405124383081228,130.42473166049172,-0.5110948462377467,67.43050943228452,3.8430746298487377,6.743050943228452,0.8383369957556576,1.6649318998496756,0.018734901543812445
220,2050.225785714286,261.08228571428566,100.48450000000001,0.42357142857142854,8.619392715670894,139.0441243761626,-0.49801807977230733,74.20225715825164,5.171635629402537,7.420225715825164,0.8392313177824684,-11.996736357706004,0.04897732010469587
230,2093.5854285714286,257.92214285714283,89.41992857142857,0.4315714285714286,4.8220460520544055,143.86617042821703,-0.5872280547928435,77.14933069288739,2.8932276312326435,7.714933069288739,0.8434596178089219,-15.216451750032189,-0.0292163582740995
