cell_id,time,x_pos_microns,y_pos_microns,x_pos_corr,y_pos_corr,area,perimeter,angle,circularity,segment_length,cumulative_path_length,orientation,euclidean_distance,speed,directedness,turn_angle,direction_autocorrelation
1,0.0,349.601,673.2460000000001,0.0,0.0,2104.939,198.06799999999998,18.668,0.674,0.0,0.0,0.7950925701184952,0.0,0.0,0.0,0.0,0.0
1,10.0,350.7,673.4830000000001,1.0989999999999895,0.23699999999996635,1924.04,182.37099999999998,26.311,0.727,1.1242642038239772,1.1242642038239772,0.6070707616400104,1.1242642038239772,0.6745585222943864,0.9775282324759108,12.16950458817228,0.9222768956612436
1,20.0,353.93,672.938,4.329000000000008,-0.3080000000001064,1832.455,181.141,32.703,0.7020000000000001,3.2756564227647864,4.399920626588764,0.41618557499537484,4.339942971975569,1.965393853658872,0.9974785447536468,-9.577344948388573,-0.9703071092505609
1,30.0,357.13800000000003,671.055,7.537000000000035,-2.1910000000001446,1802.1789999999999,184.53400000000002,34.387,0.665,3.719805505668316,8.11972613225708,0.3620476079551324,7.849003121416194,2.2318833034009895,0.9602493314641637,-30.41165881934871,-0.4022394771098195
1,40.0,362.542,667.7130000000001,12.940999999999974,-5.5330000000000155,1767.361,185.13099999999997,36.308,0.648,6.353910606862398,14.473636739119478,0.29877430643023506,14.07421649684271,3.812346364117438,0.9194828005454547,-31.733922802584893,0.24598166275234398
1,50.0,366.711,667.3760000000001,17.110000000000014,-5.8700000000000045,2190.469,211.988,31.749000000000002,0.613,4.182598474632764,18.65623521375224,0.44622905194036144,18.08891926014378,2.5095590847796583,0.9458829327465313,-4.621440603981327,-0.39764121638555316
1,60.0,370.116,665.695,20.514999999999986,-7.551000000000045,2204.093,220.178,34.34,0.5710000000000001,3.7973393316900124,22.45357454544225,0.36357642992650985,21.860531237826773,2.2784035990140072,0.9384492891234719,-26.274897195463115,-0.943521847509836
1,70.0,377.505,662.05,27.903999999999996,-11.19600000000014,2265.402,227.56,32.033,0.55,8.239135027416461,30.69270957285871,0.43733551976103835,30.066320559722683,4.943481016449876,0.9280816368791276,-26.25716279985748,0.9998427497276989
1,80.0,381.159,659.883,31.557999999999993,-13.363000000000056,2229.827,221.831,33.801,0.569,4.248247285646118,34.940956858504826,0.38103810337337374,34.27064535429704,2.548948371387671,0.9208463883229173,-30.67000576534854,-0.29508646768487745
1,90.0,381.159,659.883,31.557999999999993,-13.363000000000056,2229.827,221.831,33.801,0.569,0.0,34.940956858504826,0.38103810337337374,34.27064535429704,0.0,0.9208463883229173,,
1,100.0,393.405,654.217,43.803999999999974,-19.02900000000011,2568.919,231.00400000000002,30.066,0.605,13.493260243543817,48.43421710204864,0.49800349555140183,47.75869823393433,8.09595614612629,0.9171941786486049,-24.8291165141854,
1,110.0,404.07199999999995,651.18,54.47099999999995,-22.066000000000145,2983.7,245.382,27.212,0.623,11.090908799552885,59.52512590160153,0.5817823282473708,58.77072568039296,6.654545279731732,0.9268389894694208,-15.892175408402299,-0.8833488255559783
1,120.0,416.293,647.615,66.69200000000001,-25.631000000000085,2507.61,196.204,37.064,0.8190000000000001,12.730360010620323,72.25548591222184,0.2734891905303483,71.44768033323409,7.638216006372193,0.9334382822359879,-16.2625450824511,0.93219360206282
1,130.0,416.213,648.648,66.61200000000002,-24.59800000000007,2615.846,209.91299999999998,29.857,0.746,1.0360931425311286,73.29157905475297,0.5043166414242319,71.00859207166417,0.6216558855186771,0.9380836608163282,-85.57160551770545,0.9812366931614324
1,140.0,422.781,648.457,73.18,-24.7890000000001,2398.616,231.303,37.042,0.563,6.570776590327798,79.86235564508077,0.2742277768454552,77.2645256311071,3.942465954196679,0.9471358220639532,-1.665714158529397,-0.6081166837628776
1,150.0,430.023,651.6,80.42200000000003,-21.646000000000072,2154.894,233.676,64.984,0.496,7.89461924351013,87.7569748885909,-0.642359669529012,83.28413654472266,4.736771546106079,0.9656340731444614,23.46065710193563,0.9999797118208279
1,160.0,427.991,646.424,78.38999999999999,-26.822000000000116,1706.0529999999999,233.938,53.708,0.392,5.5605755097831935,93.3175503983741,-0.29930725476212156,82.85174581141911,3.3363453058699157,0.9461478358998662,68.56596424162257,0.4329711839031081
1,170.0,427.11400000000003,657.941,77.51300000000003,-15.305000000000064,473.06199999999995,97.935,25.572,0.62,11.550342765476751,104.86789316385085,0.6273652247066288,79.00954495502431,6.930205659286051,0.981058681506441,-85.64542742969702,-0.9628714955734602
1,180.0,443.93699999999995,654.888,94.33599999999996,-18.35800000000006,2235.126,267.493,70.507,0.39299999999999996,17.09778166897675,121.9656748328276,-0.7772997102359183,96.10565571286631,10.25866900138605,0.981586352023303,-10.285963580810824,0.9992489315435855
1,190.0,450.515,655.106,100.91399999999999,-18.1400000000001,2191.982,221.707,84.794,0.56,6.581611352852764,128.54728618568038,-0.983533641400156,102.53143418483914,3.9489668117116583,0.9842249920943921,1.8981316715252385,0.9278182539812379
1,200.0,454.694,649.071,105.09300000000002,-24.175000000000068,1631.876,194.217,86.147,0.544,7.340658417335591,135.88794460301597,-0.9909691632806621,107.8376987606839,4.404395050401355,0.9745478734039477,-55.29892268960809,0.7970591718492712
1,210.0,456.89599999999996,659.809,107.29499999999996,-13.437000000000126,1792.339,232.46,90.26899999999999,0.41700000000000004,10.96145282341709,146.84939742643306,-0.9999559154816849,108.13311238468998,6.576871694050254,0.992249253108443,78.41123819441309,-0.1912869159591792
