Image Name,Image Plane,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Object #,Frame #,X,Y,Distance,Time Interval,Velocity,Absolute Angle,Distance To Origin,Delta X,Delta Y,Avgerage Intensity,Intensity S.D.,Minimum Intensity,Maximum Intensity,Total Intensity
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,31,1,609.9857788,768.0111084,0,0,0,0,980.7770965,0,0,21939.4075,9348.580071,7032,49107,8775763
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,32,1,524.0280762,864.8729858,0,0,0,0,1011.24216,0,0,22724.9225,5974.773512,10967,40655,9089969
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,33,1,478.0011902,952.0023804,0,0,0,0,1065.266948,0,0,21429.175,4835.157873,9083,33057,8571670
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,34,1,762.0019531,871.9855957,0,0,0,0,1158.018072,0,0,22191.1675,5180.853777,12336,55180,8876467
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,35,1,828.4599609,885.8013916,0,0,0,0,1212.843771,0,0,22745.6475,8368.465384,11585,63096,9098259
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,1,2,71.54705048,121.3358459,0.809944016,0.108999997,7.430679229,-146.5675199,140.8593907,-0.446243286,-0.675926208,21779.4375,4183.568484,8956,31162,8711775
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,2,2,160.1816406,116.6485062,0.754485958,0.108999997,6.921889687,123.2585532,198.1540612,0.630905151,-0.413772583,25197.2825,15201.74148,8964,60507,10078913
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,3,2,31.40519714,280.1691589,1.927337663,0.108999997,17.68199733,-161.7697047,281.9238266,-0.602947235,-1.830596924,23867.4775,4491.668615,11798,34594,9546991
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,4,2,93.78856659,274.7677002,3.275826929,0.108999997,30.05345879,-176.8296902,290.3335742,-0.181175232,-3.270812988,20341.905,6528.470713,7945,33979,8136762
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,5,2,238.9334717,162.3049316,2.499025214,0.108999997,22.92683738,-19.16945627,288.8461437,-0.820587158,2.360458374,23573.0025,9213.023403,9410,47660,9429201
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,6,2,269.8986511,137.266037,0.473146299,0.108999997,4.340791837,11.66217495,302.7990205,0.09564209,0.463378906,20353.5975,9923.632874,8477,58352,8141439
