 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
207,16-1_10min:n_4_t_46:_10023,2767.983,255,0,255,255,255,594.754,323.002,594.754,323.002,262.062,548.1,281.88,75.69,79.17,76.923,45.816,53.566,0.506,93.637,705835.742,255,NaN,NaN,100,932535,24,548.97,361.05,41.987,55.565,1.679,0.596,0.796
208,16-1_10min:n_4_t_41:_10024,2849.729,255,0,255,255,255,596.48,325.382,596.48,325.382,295.245,546.36,278.4,75.69,81.78,70.903,51.174,66.633,0.411,96.036,726680.768,255,NaN,NaN,100,960075,25,547.23,359.31,56.454,62.539,1.386,0.722,0.743
209,16-1_10min:n_4_t_47:_10025,2411.483,255,0,255,255,255,595.911,319.242,595.911,319.242,278.231,548.1,278.4,79.17,81.78,78.472,39.128,56.422,0.391,99.016,614928.267,255,NaN,NaN,100,812430,26,548.1,360.18,53.936,60.005,2.006,0.499,0.674
210,16-1_10min:n_4_t_47:_10026,2411.483,255,0,255,255,255,595.911,319.242,595.911,319.242,278.231,548.1,278.4,79.17,81.78,78.472,39.128,56.422,0.391,99.016,614928.267,255,NaN,NaN,100,812430,27,548.1,360.18,53.936,60.005,2.006,0.499,0.674
211,16-1_10min:n_4_t_47:_10027,2411.483,255,0,255,255,255,595.911,319.242,595.911,319.242,278.231,548.1,278.4,79.17,81.78,78.472,39.128,56.422,0.391,99.016,614928.267,255,NaN,NaN,100,812430,28,548.1,360.18,53.936,60.005,2.006,0.499,0.674
212,16-1_10min:n_14_t_13:_10028,3298.57,255,0,255,255,255,609.862,325.845,609.862,325.845,314.56,555.93,276.66,79.17,95.7,87.437,48.033,84.307,0.419,100.574,841135.401,255,NaN,NaN,100,1111290,29,555.93,359.31,52.734,67.113,1.82,0.549,0.664
213,16-1_10min:n_14_t_13:_10029,3298.57,255,0,255,255,255,609.862,325.845,609.862,325.845,314.56,555.93,276.66,79.17,95.7,87.437,48.033,84.307,0.419,100.574,841135.401,255,NaN,NaN,100,1111290,30,555.93,359.31,52.734,67.113,1.82,0.549,0.664
214,16-1_10min:n_14_t_13:_10030,2715,255,0,255,255,255,615.409,324.941,615.409,324.941,267.158,593.34,270.57,40.02,106.14,106.801,32.367,95.487,0.478,106.939,692325.077,255,NaN,NaN,100,914685,31,613.35,270.57,97.009,39.174,3.3,0.303,0.81
215,16-1_10min:n_14_t_13:_10031,2715,255,0,255,255,255,615.409,324.941,615.409,324.941,267.158,593.34,270.57,40.02,106.14,106.801,32.367,95.487,0.478,106.939,692325.077,255,NaN,NaN,100,914685,32,613.35,270.57,97.009,39.174,3.3,0.303,0.81
216,16-1_10min:n_14_t_18:_10032,2602.222,255,0,255,255,255,621.178,324.911,621.178,324.911,265.505,598.56,269.7,40.02,107.88,112.071,29.564,96.792,0.464,108.774,663566.661,255,NaN,NaN,100,876690,33,614.22,269.7,97.352,34.916,3.791,0.264,0.805
217,16-1_10min:n_14_t_18:_10033,2432.677,255,0,255,255,255,623.794,327.323,623.794,327.323,253.377,607.26,269.7,33.93,105.27,109.535,28.278,93.923,0.476,105.704,620332.533,255,NaN,NaN,100,819570,34,619.44,269.7,95.194,33.93,3.874,0.258,0.87
218,16-1_10min:n_14_t_18:_10034,2817.939,255,0,255,255,255,627.112,328.518,627.112,328.518,260.671,603.78,271.44,44.37,101.79,102.924,34.86,93.228,0.521,102.623,718574.368,255,NaN,NaN,100,949365,35,617.7,271.44,97.306,44.05,2.953,0.339,0.828
219,16-1_10min:n_14_t_18:_10035,2833.077,255,0,255,255,255,628.221,329.041,628.221,329.041,259.354,603.78,272.31,46.11,100.92,97.703,36.92,93.581,0.529,101.552,722434.559,255,NaN,NaN,100,954465,36,617.7,272.31,96.394,46.11,2.646,0.378,0.808
220,16-1_10min:n_14_t_24:_10036,3278.891,255,0,255,255,255,630.397,324.144,630.397,324.144,269.284,606.39,271.44,45.24,100.05,102.17,40.861,92.699,0.568,100.593,836117.154,255,NaN,NaN,100,1104660,37,620.31,271.44,95.957,44.92,2.5,0.4,0.842
221,16-1_10min:n_14_t_18:_10037,3101.019,255,0,255,255,255,631.726,324.297,631.726,324.297,275.734,602.91,269.7,51.33,101.79,102.385,38.564,97.243,0.513,102.091,790759.921,255,NaN,NaN,100,1044735,38,622.92,269.7,94.399,46.236,2.655,0.377,0.782
222,16-1_10min:n_14_t_23:_10038,2989.755,255,0,255,255,255,633.184,324.937,633.184,324.937,278.617,602.91,270.57,53.07,100.05,100.248,37.972,98.217,0.484,100.145,762387.525,255,NaN,NaN,100,1007250,39,622.92,370.62,87.51,45.983,2.64,0.379,0.761
223,16-1_10min:n_14_t_27:_10039,3167.626,255,0,255,255,255,634.407,323.265,634.407,323.265,293.891,599.43,269.7,57.42,104.4,103.294,39.045,97.615,0.461,104.491,807744.757,255,NaN,NaN,100,1067175,40,624.66,269.7,92.386,48.925,2.645,0.378,0.723
224,16-1_10min:n_14_t_23:_10040,1784.013,255,0,255,255,255,629.403,316.368,629.403,316.368,276.244,602.91,267.09,42.63,104.4,100.995,22.491,95.321,0.294,104.921,454923.392,255,NaN,NaN,100,601035,41,624.66,371.49,84.289,38.408,4.49,0.223,0.561
225,16-1_10min:n_15_t_3:_10041,3095.721,255,0,255,255,255,640.558,322.461,640.558,322.461,296.949,606.39,267.09,59.16,104.4,102.105,38.603,102.688,0.441,105.212,789408.855,255,NaN,NaN,100,1042950,42,626.4,371.49,82.875,50.594,2.645,0.378,0.705
226,16-1_10min:n_15_t_3:_10042,3095.721,255,0,255,255,255,640.558,322.461,640.558,322.461,296.949,606.39,267.09,59.16,104.4,102.105,38.603,102.688,0.441,105.212,789408.855,255,NaN,NaN,100,1042950,43,626.4,371.49,82.875,50.594,2.645,0.378,0.705
227,16-1_10min:n_14_t_27:_10043,1750.71,255,0,255,255,255,635.207,306.444,635.207,306.444,257.49,616.83,260.13,32.19,109.62,99.673,22.364,89.847,0.332,110.859,446430.973,255,NaN,NaN,100,589815,44,628.14,369.75,81.425,30.93,4.457,0.224,0.717
228,16-1_10min:n_15_t_3:_10044,2923.905,255,0,255,255,255,642.996,316.298,642.996,316.298,293.891,614.22,258.39,51.33,107.88,108.029,34.461,99.089,0.425,108.774,745595.699,255,NaN,NaN,100,985065,45,632.49,366.27,82.648,44.292,3.135,0.319,0.726
229,16-1_10min:n_14_t_27:_10045,1827.157,255,0,255,255,255,636.626,305.526,636.626,305.526,264.45,611.61,259.26,40.02,107.01,90.946,25.58,91.091,0.328,108.027,465924.933,255,NaN,NaN,100,615570,46,632.49,366.27,82.131,38.648,3.555,0.281,0.657
230,16-1_10min:n_14_t_27:_10046,1880.14,255,0,255,255,255,640.221,301.595,640.221,301.595,259.652,613.35,257.52,40.89,104.4,86.064,27.815,92.501,0.35,105.212,479435.598,255,NaN,NaN,100,633420,47,635.97,361.92,82.875,40.407,3.094,0.323,0.664
231,16-1_10min:n_14_t_27:_10047,2246.479,255,0,255,255,255,646.077,308.578,646.077,308.578,265.68,616.83,259.26,46.11,104.4,103.006,27.768,98.558,0.4,104.577,572852.196,255,NaN,NaN,100,756840,48,642.93,259.26,93.338,41.311,3.709,0.27,0.7
232,16-1_10min:n_14_t_27:_10048,1144.433,255,0,255,255,255,647.833,311.454,647.833,311.454,238.664,638.58,261,16.53,108.75,114.749,12.699,88.828,0.252,109.337,291830.364,255,NaN,NaN,100,385560,49,639.45,369.75,84.063,14.701,9.036,0.111,0.787
233,16-1_10min:n_14_t_27:_10049,1531.209,255,0,255,255,255,651.985,307.572,651.985,307.572,258.437,639.45,255.78,22.62,114.84,121.026,16.109,85.863,0.288,115.903,390458.218,255,NaN,NaN,100,515865,50,642.06,370.62,82.235,19.037,7.513,0.133,0.81
234,16-1_10min:n_14_t_27:_10050,1420.701,255,0,255,255,255,655.544,312.587,655.544,312.587,237.171,640.32,267.09,27.84,101.79,104.249,17.352,82.569,0.317,103.738,362278.831,255,NaN,NaN,100,478635,51,641.19,368.88,78.879,21.863,6.008,0.166,0.773
235,16-1_10min:n_14_t_27:_10051,1857.433,255,0,255,255,255,659.128,304.175,659.128,304.175,266.154,642.93,256.65,32.19,111.36,112.326,21.054,83.588,0.33,113.301,473645.313,255,NaN,NaN,100,625770,52,643.8,368.01,79.38,27.547,5.335,0.187,0.736
236,16-1_10min:n_15_t_3:_10052,1977.023,255,0,255,255,255,660.024,311.126,660.024,311.126,275.997,643.8,259.26,30.45,109.62,117.05,21.506,85.496,0.326,111.431,504140.814,255,NaN,NaN,100,666060,53,644.67,368.88,79.655,27.676,5.443,0.184,0.718
237,16-1_10min:n_14_t_27:_10053,1762.063,255,0,255,255,255,663.052,301.938,663.052,301.938,250.195,649.02,257.52,28.71,107.01,96.288,23.3,86.341,0.354,108.15,449326.116,255,NaN,NaN,100,593640,54,649.02,364.53,81.674,27.855,4.133,0.242,0.779
238,16-1_10min:n_15_t_4:_10054,2098.884,255,0,255,255,255,662.838,310.945,662.838,310.945,266.066,647.28,257.52,30.45,112.23,116.355,22.967,85.677,0.373,113.317,535215.343,255,NaN,NaN,100,707115,55,649.89,369.75,82.057,28.144,5.066,0.197,0.785
239,16-1_10min:n_15_t_4:_10055,1806.72,255,0,255,255,255,664.259,306.962,664.259,306.962,243.832,649.89,260.13,28.71,103.53,102.626,22.415,85.856,0.382,104.462,460713.677,255,NaN,NaN,100,608685,56,651.63,363.66,82.342,27.402,4.578,0.218,0.799
240,16-1_10min:n_15_t_8:_10056,2918.606,255,0,255,255,255,670.099,316.813,670.099,316.813,286.859,649.89,260.13,39.15,115.71,122.42,30.355,88.917,0.446,116.885,744244.632,255,NaN,NaN,100,983280,57,660.33,260.13,98.13,35.59,4.033,0.248,0.803
241,16-1_10min:n_15_t_7:_10057,2842.159,255,0,255,255,255,671.555,315.904,671.555,315.904,299.075,652.5,260.13,39.15,118.32,122.187,29.617,87.801,0.399,119.241,724750.672,255,NaN,NaN,100,957525,58,663.81,260.13,97.125,37.406,4.126,0.242,0.739
242,16-1_10min:n_15_t_7:_10058,2691.536,255,0,255,255,255,672.223,317.772,672.223,317.772,287.58,656.85,261,33.06,116.58,124.324,27.565,89.038,0.409,117.215,686341.782,255,NaN,NaN,100,906780,59,666.42,261,95.964,33.06,4.51,0.222,0.806
243,16-1_10min:n_15_t_9:_10059,2859.568,255,0,255,255,255,673.775,318.544,673.775,318.544,281.85,655.98,262.74,34.8,115.71,123.906,29.385,89.725,0.452,116.105,729189.891,255,NaN,NaN,100,963390,60,667.29,262.74,94.728,34.085,4.217,0.237,0.825
244,16-1_10min:n_15_t_8:_10060,2582.543,255,0,255,255,255,674.784,320.082,674.784,320.082,281.726,658.59,264.48,31.32,119.19,126.601,25.973,90.617,0.409,119.902,658548.414,255,NaN,NaN,100,870060,61,668.16,264.48,96.248,30.945,4.874,0.205,0.816
245,16-1_10min:n_5_t_24:_10000,916.606,255,0,255,255,255,190.918,351.041,190.918,351.041,144.565,174.87,324.51,33.06,56.55,60.451,19.306,116.019,0.551,62.283,233734.504,255,NaN,NaN,100,308805,1,180.09,324.51,114.775,21.198,3.131,0.319,0.939
246,16-1_10min:n_5_t_24:_10001,896.17,255,0,255,255,255,192.173,350.83,192.173,350.83,140.874,176.61,324.51,30.45,56.55,59.607,19.143,114.366,0.567,61.129,228523.248,255,NaN,NaN,100,301920,2,180.09,325.38,114.376,20.632,3.114,0.321,0.941
247,16-1_10min:n_5_t_24:_10002,958.992,255,0,255,255,255,192.656,351.37,192.656,351.37,139.432,177.48,324.51,29.58,55.68,59.058,20.675,113.781,0.62,60.432,244543.036,255,NaN,NaN,100,323085,3,180.96,324.51,112.874,21.794,2.856,0.35,0.952
248,16-1_10min:n_5_t_24:_10003,1031.655,255,0,255,255,255,192.967,352.525,192.967,352.525,143.633,175.74,326.25,32.19,55.68,59.999,21.893,114.876,0.628,61.494,263071.948,255,NaN,NaN,100,347565,4,180.96,326.25,115.115,23.382,2.741,0.365,0.949
249,16-1_10min:n_5_t_24:_10004,941.584,255,0,255,255,255,193.241,352.406,193.241,352.406,135.952,176.61,327.99,31.32,52.2,55.956,21.425,117.338,0.64,59.16,240103.818,255,NaN,NaN,100,317220,5,180.09,327.99,118.072,22.971,2.612,0.383,0.952
250,16-1_10min:n_5_t_25:_10005,1043.008,255,0,255,255,255,194.537,352.674,194.537,352.674,149.574,178.35,323.64,31.32,60.03,63.463,20.926,113.487,0.586,65.81,265967.091,255,NaN,NaN,100,351390,6,180.96,323.64,114.193,23.311,3.033,0.33,0.945
251,16-1_10min:n_5_t_25:_10006,1045.279,255,0,255,255,255,194.784,351.944,194.784,351.944,156.832,178.35,321.9,31.32,62.64,67.502,19.716,111.422,0.534,68.906,266546.12,255,NaN,NaN,100,352155,7,180.09,321.9,114.624,20.982,3.424,0.292,0.944
252,16-1_10min:n_5_t_28:_10007,954.451,255,0,255,255,255,195.029,353.674,195.029,353.674,156.745,177.48,323.64,33.93,61.77,68.787,17.667,114.543,0.488,69.257,243384.979,255,NaN,NaN,100,321555,8,179.22,323.64,116.887,18.975,3.894,0.257,0.935
253,16-1_10min:n_5_t_28:_10008,883.302,255,0,255,255,255,195.064,354.17,195.064,354.17,160.647,178.35,322.77,33.93,65.25,70.898,15.863,115.218,0.43,72.005,225242.086,255,NaN,NaN,100,297585,9,180.96,322.77,115.017,17.136,4.469,0.224,0.927
254,16-1_10min:n_5_t_29:_10009,1007.434,255,0,255,255,255,197.131,356.614,197.131,356.614,175.288,179.22,321.03,35.67,71.34,79.521,16.13,114.177,0.412,78.266,256895.644,255,NaN,NaN,100,339405,10,181.83,321.03,114.286,17.131,4.93,0.203,0.931
255,16-1_10min:n_5_t_29:_10010,1007.434,255,0,255,255,255,197.131,356.614,197.131,356.614,175.288,179.22,321.03,35.67,71.34,79.521,16.13,114.177,0.412,78.266,256895.644,255,NaN,NaN,100,339405,11,181.83,321.03,114.286,17.131,4.93,0.203,0.931
256,16-1_10min:n_5_t_41:_10011,1273.863,255,0,255,255,255,202.338,360.011,202.338,360.011,209.491,180.96,316.68,41.76,84.39,98.074,16.538,112.435,0.365,91.284,324834.989,255,NaN,NaN,100,429165,12,184.44,316.68,112.41,18.519,5.93,0.169,0.873
257,16-1_10min:n_5_t_42:_10012,1410.862,255,0,255,255,255,206.52,362.404,206.52,362.404,210.634,181.83,317.55,46.11,82.65,92.835,19.35,115.126,0.4,90.019,359769.708,255,NaN,NaN,100,475320,13,184.44,317.55,113.344,24.587,4.798,0.208,0.838
258,16-1_10min:n_5_t_42:_10013,1410.862,255,0,255,255,255,206.52,362.404,206.52,362.404,210.634,181.83,317.55,46.11,82.65,92.835,19.35,115.126,0.4,90.019,359769.708,255,NaN,NaN,100,475320,14,184.44,317.55,113.344,24.587,4.798,0.208,0.838
259,16-1_10min:n_5_t_42:_10014,1410.862,255,0,255,255,255,206.52,362.404,206.52,362.404,210.634,181.83,317.55,46.11,82.65,92.835,19.35,115.126,0.4,90.019,359769.708,255,NaN,NaN,100,475320,15,184.44,317.55,113.344,24.587,4.798,0.208,0.838
260,16-1_10min:n_5_t_40:_10015,1413.132,255,0,255,255,255,205.976,357.586,205.976,357.586,216.029,184.44,314.07,37.41,89.61,94.467,19.046,106.98,0.381,91.817,360348.736,255,NaN,NaN,100,476085,16,192.27,314.07,102.588,22.766,4.96,0.202,0.788
261,16-1_10min:n_5_t_37:_10016,1698.484,255,0,255,255,255,206.436,353.388,206.436,353.388,221.511,186.18,313.2,32.19,93.09,94.726,22.83,99.841,0.435,95.037,433113.318,255,NaN,NaN,100,572220,17,194.01,313.2,101.619,28.104,4.149,0.241,0.837
262,16-1_10min:n_5_t_38:_10017,1786.284,255,0,255,255,255,207.377,353.283,207.377,353.283,240.527,188.79,314.07,32.19,98.31,96.817,23.491,93.32,0.388,99.172,455502.42,255,NaN,NaN,100,601800,18,203.58,412.38,82.439,32.19,4.121,0.243,0.783
263,16-1_10min:n_5_t_36:_10018,1472.171,255,0,255,255,255,206.425,355.488,206.425,355.488,236.836,189.66,316.68,26.97,101.79,97.118,19.3,94.073,0.33,102.516,375403.478,255,NaN,NaN,100,495975,19,198.36,316.68,96.823,26.97,5.032,0.199,0.783
264,16-1_10min:n_5_t_36:_10019,1591.004,255,0,255,255,255,206.163,355.589,206.163,355.589,262.252,189.66,308.85,26.97,116.58,109.032,18.579,94.745,0.291,117.408,405705.969,255,NaN,NaN,100,536010,20,194.88,308.85,96.809,25.036,5.868,0.17,0.747
265,16-1_10min:n_5_t_36:_10020,1633.39,255,0,255,255,255,206.272,358.472,206.272,358.472,264.8,192.27,305.37,23.49,120.06,121.009,17.186,94.436,0.293,121.077,416514.501,255,NaN,NaN,100,550290,21,194.88,305.37,97.431,21.769,7.041,0.142,0.808
266,16-1_10min:n_5_t_36:_10021,1614.468,255,0,255,255,255,205.746,355.154,205.746,355.154,281.69,192.27,296.67,24.36,127.02,121.294,16.947,94.235,0.256,127.878,411689.264,255,NaN,NaN,100,543915,22,193.14,296.67,96.642,22.851,7.157,0.14,0.743
267,16-1_10min:n_5_t_37:_10022,1621.28,255,0,255,255,255,206.241,358.137,206.241,358.137,285.083,193.14,299.28,25.23,129.63,117.32,17.595,93.112,0.251,130.201,413426.349,255,NaN,NaN,100,546210,23,194.88,299.28,95.368,23.773,6.668,0.15,0.739
268,16-1_10min:n_5_t_40:_10023,1725.732,255,0,255,255,255,210.736,358.761,210.736,358.761,287.966,196.62,306.24,30.45,127.02,105.43,20.841,88.367,0.262,127.318,440061.66,255,NaN,NaN,100,581400,24,199.23,306.24,93.918,29.738,5.059,0.198,0.696
269,16-1_10min:n_5_t_41:_10024,1678.804,255,0,255,255,255,214.12,364.627,214.12,364.627,290.215,203.58,310.59,25.23,130.5,113.692,18.801,87.112,0.25,130.685,428095.071,255,NaN,NaN,100,565590,25,205.32,310.59,93.053,25.23,6.047,0.165,0.723
270,16-1_10min:n_5_t_40:_10025,1725.732,255,0,255,255,255,213.676,358.136,213.676,358.136,317.123,201.84,293.19,24.36,145.29,124.54,17.643,90.754,0.216,145.355,440061.66,255,NaN,NaN,100,581400,26,207.06,293.19,91.715,23.677,7.059,0.142,0.729
271,16-1_10min:n_5_t_40:_10026,2083.746,255,0,255,255,255,213.455,358.252,213.455,358.252,340.886,200.1,288.84,27.84,154.86,144.244,18.393,91.496,0.225,155.338,531355.154,255,NaN,NaN,100,702015,27,203.58,288.84,94.497,26.436,7.842,0.128,0.706
272,16-1_10min:n_5_t_40:_10027,1902.847,255,0,255,255,255,214.322,359.449,214.322,359.449,333.89,203.58,288.84,21.75,153.99,153.02,15.833,90.846,0.214,154.236,485225.883,255,NaN,NaN,100,641070,28,209.67,288.84,93.234,21.038,9.665,0.103,0.757
273,16-1_10min:n_5_t_46:_10028,1935.393,255,0,255,255,255,217.168,355.681,217.168,355.681,340.974,207.06,288.84,23.49,155.73,146.373,16.835,90.295,0.209,155.973,493525.292,255,NaN,NaN,100,652035,29,211.41,288.84,93.198,22.894,8.694,0.115,0.722
274,16-1_10min:n_5_t_46:_10029,1835.483,255,0,255,255,255,218.911,361.826,218.911,361.826,329.813,209.67,294.93,20.88,150.51,148.831,15.702,89.79,0.212,150.761,468048.038,255,NaN,NaN,100,618375,30,214.89,294.93,93.308,20.856,9.478,0.106,0.713
275,16-1_10min:n_5_t_47:_10030,2008.813,255,0,255,255,255,219.842,361.825,219.842,361.825,343.136,209.67,291.45,23.49,156.6,151.892,16.839,89.83,0.214,156.841,512247.213,255,NaN,NaN,100,676770,31,216.63,291.45,93.18,23.345,9.02,0.111,0.705
276,16-1_10min:n_5_t_44:_10031,1839.267,255,0,255,255,255,220.146,362.617,220.146,362.617,337.283,210.54,293.19,19.14,154.86,157.027,14.914,90.619,0.203,155.212,469013.085,255,NaN,NaN,100,619650,32,216.63,293.19,93.857,19.14,10.529,0.095,0.727
277,16-1_10min:n_5_t_47:_10032,2047.414,255,0,255,255,255,223.233,355.795,223.233,355.795,351.501,213.15,287.1,20.01,163.56,161.603,16.131,89.197,0.208,163.643,522090.697,255,NaN,NaN,100,689775,33,223.59,287.1,91.828,20.01,10.018,0.1,0.75
278,16-1_10min:n_5_t_49:_10033,1843.051,255,0,255,255,255,223.866,354.296,223.866,354.296,356.721,212.28,279.27,22.62,166.17,158.116,14.841,87.488,0.182,166.227,469978.132,255,NaN,NaN,100,620925,34,222.72,445.44,88.5,21.958,10.654,0.094,0.701
279,16-1_10min:n_5_t_56:_10034,2121.591,255,0,255,255,255,225.147,348.577,225.147,348.577,371.063,212.28,274.92,25.23,172.26,156.801,17.228,85.836,0.194,172.438,541005.629,255,NaN,NaN,100,714765,35,222.72,447.18,87.397,25.23,9.102,0.11,0.706
280,16-1_10min:n_5_t_51:_10035,1946.747,255,0,255,255,255,224.715,353.356,224.715,353.356,363.681,214.02,275.79,22.62,171.39,156.512,15.837,87.172,0.185,171.41,496420.434,255,NaN,NaN,100,655860,36,223.59,447.18,89.128,22.306,9.883,0.101,0.735
281,16-1_10min:n_5_t_56:_10036,2187.441,255,0,255,255,255,226.509,347.823,226.509,347.823,357.74,216.63,278.4,23.49,165.3,161.299,17.267,86.183,0.215,165.446,557797.455,255,NaN,NaN,100,736950,37,221.85,443.7,87.589,22.052,9.342,0.107,0.768
282,16-1_10min:n_5_t_53:_10037,1972.481,255,0,255,255,255,226.339,358.84,226.339,358.84,349.849,218.37,281.01,19.14,164.43,165.673,15.159,87.431,0.203,164.467,502982.757,255,NaN,NaN,100,664530,38,224.46,281.01,91.212,18.265,10.929,0.091,0.81
283,16-1_10min:n_5_t_56:_10038,1916.471,255,0,255,255,255,228.02,360.511,228.02,360.511,350.271,219.24,281.88,20.88,164.43,158.36,15.409,86.748,0.196,164.467,488700.054,255,NaN,NaN,100,645660,39,224.46,281.88,91.212,19.664,10.277,0.097,0.77
284,16-1_10min:n_5_t_58:_10039,2037.575,255,0,255,255,255,230.575,360.483,230.575,360.483,356.335,220.11,281.88,25.23,165.3,145.525,17.827,85.589,0.202,165.357,519581.574,255,NaN,NaN,100,686460,40,224.46,281.88,91.507,23.545,8.163,0.123,0.735
285,16-1_10min:n_5_t_61:_10040,1946.747,255,0,255,255,255,233.179,368.626,233.179,368.626,337.283,220.98,297.54,26.97,157.47,143.029,17.33,83.75,0.215,157.556,496420.434,255,NaN,NaN,100,655860,41,228.81,455.01,88.101,21.623,8.253,0.121,0.76
286,16-1_10min:n_5_t_61:_10041,2142.027,255,0,255,255,255,236.198,358.395,236.198,358.395,380.011,221.85,279.27,33.06,174.87,130.438,20.909,85.212,0.186,174.879,546216.885,255,NaN,NaN,100,721650,42,228.81,454.14,89.43,30.026,6.238,0.16,0.648
287,16-1_10min:n_5_t_61:_10042,2151.867,255,0,255,255,255,237.513,355.934,237.513,355.934,393.632,224.46,273.18,34.8,180.09,125.424,21.845,86.062,0.175,180.109,548726.008,255,NaN,NaN,100,724965,43,228.81,273.18,90.83,33.177,5.742,0.174,0.601
288,16-1_10min:n_5_t_61:_10043,2037.575,255,0,255,255,255,238.503,354.511,238.503,354.511,368.937,226.2,281.88,32.19,170.52,120.591,21.513,85.659,0.188,170.575,519581.574,255,NaN,NaN,100,686460,44,228.81,452.4,88.539,30.191,5.605,0.178,0.652
289,16-1_10min:n_5_t_61:_10044,2145.811,255,0,255,255,255,237.489,353.543,237.489,353.543,382.312,227.07,275.79,26.1,180.09,146.362,18.667,86.71,0.184,180.166,547181.932,255,NaN,NaN,100,722925,45,231.42,455.88,88.34,23.961,7.841,0.128,0.764
290,16-1_10min:n_5_t_61:_10045,2086.773,255,0,255,255,255,236.982,348.94,236.982,348.94,385.071,228.81,274.05,23.49,181.83,150.611,17.641,87.699,0.177,181.882,532127.192,255,NaN,NaN,100,703035,46,230.55,455.88,88.63,23.204,8.537,0.117,0.764
291,16-1_10min:n_5_t_61:_10046,2497.77,255,0,255,255,255,238.635,355.145,238.635,355.145,402.471,229.68,270.57,23.49,188.79,166.419,19.11,88.259,0.194,188.822,636931.35,255,NaN,NaN,100,841500,47,233.16,459.36,88.944,23.356,8.709,0.115,0.793
292,16-1_10min:n_5_t_61:_10047,2305.517,255,0,255,255,255,239.732,356.554,239.732,356.554,393.771,229.68,272.31,25.23,185.31,158.669,18.501,87.422,0.187,185.361,587906.937,255,NaN,NaN,100,776730,48,232.29,457.62,88.655,23.86,8.576,0.117,0.754
293,16-1_10min:n_5_t_61:_10048,2229.827,255,0,255,255,255,241.325,355.392,241.325,355.392,383.666,230.55,276.66,29.58,177.48,141.762,20.027,87.767,0.19,177.584,568605.987,255,NaN,NaN,100,751230,49,233.16,454.14,88.035,28.348,7.078,0.141,0.693
294,16-1_10min:n_5_t_61:_10049,2172.303,255,0,255,255,255,242.166,356.734,242.166,356.734,382.137,231.42,277.53,29.58,176.61,139.048,19.891,87.374,0.187,176.747,553937.265,255,NaN,NaN,100,731850,50,234.03,454.14,87.743,28.141,6.99,0.143,0.688
295,16-1_10min:n_5_t_61:_10050,2658.233,255,0,255,255,255,244.252,349.007,244.252,349.007,396.777,231.42,268.83,31.32,184.44,136.206,24.849,86.988,0.212,184.473,677849.364,255,NaN,NaN,100,895560,51,233.16,453.27,88.919,30.04,5.481,0.182,0.731
296,16-1_10min:n_5_t_61:_10051,2509.88,255,0,255,255,255,243.269,345.402,243.269,345.402,404.036,231.42,264.48,27.84,188.79,151.781,21.055,87.854,0.193,188.822,640019.502,255,NaN,NaN,100,845580,52,234.03,453.27,88.944,27.178,7.209,0.139,0.712
297,16-1_10min:n_5_t_61:_10052,2550.753,255,0,255,255,255,244.844,345.535,244.844,345.535,391.346,232.29,272.31,30.45,180.09,140.595,23.1,86.879,0.209,180.3,650442.015,255,NaN,NaN,100,859350,53,233.16,452.4,87.234,29.674,6.086,0.164,0.736
298,16-1_10min:n_5_t_61:_10053,2422.08,255,0,255,255,255,246.496,344.954,246.496,344.954,387.182,233.16,274.05,36.54,176.61,125.966,24.482,86.464,0.203,176.747,617630.4,255,NaN,NaN,100,816000,54,234.03,450.66,87.743,34.955,5.145,0.194,0.669
299,16-1_10min:n_5_t_61:_10054,2379.694,255,0,255,255,255,245.743,343.406,245.743,343.406,385.915,233.16,275.79,27.84,176.61,149.597,20.254,86.709,0.201,177.091,606821.868,255,NaN,NaN,100,801720,55,234.03,452.4,85.774,26.378,7.386,0.135,0.739
300,16-1_10min:n_5_t_61:_10055,2450.085,255,0,255,255,255,246.585,342.585,246.585,342.585,377.004,234.03,277.53,26.97,172.26,150.505,20.727,86.735,0.217,172.576,624771.752,255,NaN,NaN,100,825435,56,234.9,449.79,86.532,26.016,7.261,0.138,0.778
301,16-1_10min:n_5_t_61:_10056,2158.679,255,0,255,255,255,248.796,343.683,248.796,343.683,382.821,236.64,275.79,24.36,178.35,158.07,17.388,86.316,0.185,178.827,550463.094,255,NaN,NaN,100,727260,57,238.38,454.14,85.815,21.091,9.091,0.11,0.767
302,16-1_10min:n_5_t_61:_10057,2447.815,255,0,255,255,255,251.015,345.849,251.015,345.849,384.052,237.51,277.53,27.84,176.61,157.276,19.816,85.918,0.209,177.382,624192.723,255,NaN,NaN,100,824670,58,239.25,454.14,84.653,25.786,7.937,0.126,0.733
303,16-1_10min:n_5_t_61:_10058,2694.564,255,0,255,255,255,254.401,345.24,254.401,345.24,375.264,239.25,281.01,31.32,171.39,143.199,23.958,85.319,0.24,172.271,687113.82,255,NaN,NaN,100,907800,59,241.86,452.4,84.203,28.624,5.977,0.167,0.771
